state_name,percent_with_internet_subscription,percent_private_health_insurance,education_25_older_bachelor's_degree,count_bach,total_bach,household_median_income,total_moved_to_US_from_abroad,Percent_Very_Religious,Percent_Nonreligious,mass_shootings,believes_climate_change,percent_with_disability
Alabama,78.5,66.9,25.52278866,844704,3309607,48123,13667,54,17,9,63.302,16.5
Alaska,86.4,63.2,28.79884376,138684,481561,73181,6703,28,47,0,69.104,12.6
Arizona,86,63,29.35652153,1383092,4711362,56581,45322,31,39,8,69.391,13
Arkansas,73.3,61.3,23.40741228,470114,2008398,45869,8958,50,19,3,63.6665,18
California,87.9,63.6,33.64502099,8976247,26679273,71805,318752,29,41,49,75.7115,10.6
Colorado,88.6,70,41.2001304,1574697,3822068,69117,34438,30,43,5,71.2805,10.9
Connecticut,85.9,71.4,38.67936936,964607,2493854,74168,24580,29,42,4,71.815,11.1
Delaware,86.5,73.6,31.48098669,212083,673686,62852,4014,35,34,1,70.811,11.4
Florida,83.4,62.1,29.65672109,4454492,15020177,52594,249166,35,33,28,70.1275,13.6
Georgia,82.9,66.1,30.90878718,2131478,6896026,56183,57259,44,23,10,68.6445,12.2
Hawaii,84.8,77,32.94231787,328680,997744,77765,17270,28,44,0,77.9415,10.8
Idaho,83.1,69.8,26.77290994,297658,1111788,52225,6629,39,37,1,64.174,14.2
Illinois,84,69.9,34.42960118,2997805,8707057,62992,71419,35,36,41,72.686,11.1
Indiana,81.6,70.7,26.81788021,1189458,4435317,54181,23650,42,31,10,64.038,13.9
Iowa,82.4,75.8,28.93248943,605820,2093909,58570,12237,37,32,3,65.853,11.3
Kansas,83.3,74.5,33.74809927,642742,1904528,56422,11483,44,29,6,65.108,13.1
Kentucky,79.2,64.5,23.96698458,723552,3018953,48375,15473,45,26,8,62.125,17.5
Louisiana,75.8,60.3,23.79676548,742525,3120277,46145,12776,52,17,20,65.4385,14.8
Maine,82.9,70.5,32.0669109,311607,971740,56277,4017,22,55,1,68.868,16.5
Maryland,87.9,74.3,39.65299966,1652580,4167604,80776,48118,36,33,10,75.2685,11.1
Massachusetts,87,73.8,43.40898635,2078671,4788573,77385,77653,26,49,0,74.3735,11.8
Michigan,83.1,71.4,29.11678748,1985564,6819310,54909,48448,36,34,10,68.0215,14.1
Minnesota,86.4,76,36.05018611,1362126,3778416,68388,23259,37,35,4,68.773,11.2
Mississippi,73.7,60.3,21.86944488,428497,1959341,43529,6478,59,12,13,65.443,16.8
Missouri,81.6,70.6,29.05443615,1205839,4150275,53578,24477,39,32,11,65.5905,14.9
Montana,82,67.2,32.31007122,233817,723666,53386,3972,32,39,1,65.3215,13.7
Nebraska,84.9,75.9,31.66795579,398780,1259254,59970,11189,46,25,0,64.11,12
Nevada,83.6,64.9,24.8781008,513280,2063180,58003,17152,26,41,3,70.2665,12.2
New Hampshire,88.9,76.7,36.94051701,353892,958005,73381,6393,23,51,0,68.1175,13
New Jersey,87,72,39.72558993,2476707,6234538,80088,79239,32,36,14,74.466,10.3
New Mexico,77,54.4,27.05761871,376500,1391475,46744,10588,38,36,2,71.3285,15.7
New York,83.7,66.9,36.03295302,4980162,13821132,64894,145486,31,40,14,76.801,11.6
North Carolina,82,67,31.33487384,2190679,6991185,52752,56062,46,23,11,68.8435,13.3
North Dakota,81.6,79.8,30.73961896,152439,495904,61843,5873,40,29,1,61.2665,10.3
Ohio,83.6,69.1,27.955176,2231350,7981885,54021,45588,37,33,25,66.4465,14
Oklahoma,80,64,25.5386802,660536,2586414,50051,14931,45,25,3,62.6905,16.5
Oregon,87.1,67.5,33.72462037,978417,2901195,60212,26004,28,48,1,72.17,14
Pennsylvania,82,72.5,31.43941161,2817236,8960842,59195,59191,36,34,19,68.827,14.1
Rhode Island,85.8,69.6,33.45106782,246524,736969,63870,6049,32,39,0,71.371,13.5
South Carolina,79.5,65.4,28.00179218,964340,3443851,50570,19806,50,20,9,66.6325,14.8
South Dakota,80.9,73.2,28.1499376,161738,574559,56521,7099,37,33,0,63.977,11.6
Tennessee,79.6,66.3,27.33300308,1254162,4588453,51340,25261,49,22,15,64.004,15.4
Texas,83.5,62.2,29.59604715,5371489,18149346,59206,222401,43,25,29,69.2045,11.4
Utah,88.1,78.4,34.61575722,632442,1827035,68358,25145,54,30,2,64.341,9.6
Vermont,82,66.5,38.28332199,168166,439267,57513,3243,16,59,0,72.596,14.4
Virginia,85.2,76.2,38.7113765,2237216,5779221,71535,73983,38,31,12,71.2585,11.9
Washington,89.4,70.8,35.49843903,1811119,5101968,70979,63485,28,47,2,72.7455,12.9
West Virginia,76.3,62,20.2021339,258456,1279350,43469,3091,38,31,0,59.5245,20.2
Wisconsin,83.9,75.2,30.38049068,1202530,3958231,59305,23107,35,35,3,67.603,11.8
Wyoming,84,72.5,27.6236781,107097,387700,60434,2403,36,38,0,60.301,14.4
